Player,Pos,G,FG,3P,FT,TRB,AST,STL,BLK,TOV,PTS
Cory Joseph\josepco01,PG,65,178,65,100,174,237,42,17,85,521
Georgios Kalaitzakis\kalaige01,SF,13,31,10,14,21,12,11,2,20,86
Frank Kaminsky\kaminfr01,C,9,36,5,18,41,13,8,7,5,95
Luke Kennard\kennalu01,SG,70,287,190,69,229,146,42,6,60,833
Braxton Key\keybr01,SF,11,33,6,7,50,11,10,11,11,79
George King\kingge03,SF,4,0,0,1,5,0,0,0,1,1
Louis King\kinglo02,SF,10,15,8,7,12,9,2,1,0,45
Corey Kispert\kispeco01,SF,77,234,112,54,209,85,35,22,50,634
Maxi Kleber\klebima01,PF,59,141,83,46,350,68,30,58,47,411
Brandon Knight\knighbr03,PG,5,10,4,8,8,8,1,0,4,32
Nathan Knight\knighna01,PF,37,45,4,44,85,22,7,8,18,138
Kevin Knox\knoxke01,SF,30,31,15,16,44,10,4,2,7,93
John Konchar\konchjo01,SG,72,135,52,27,329,109,45,22,29,349
Furkan Korkmaz\korkmfu01,SG,67,182,77,68,175,127,33,9,48,509
Luke Kornet\kornelu01,C,15,13,0,4,29,9,3,3,0,30
Vit Krejci\krejcvi01,SG,30,68,32,19,101,57,19,8,29,187
Arnoldas Kulboka\kulboar01,SF,2,0,0,0,0,0,0,0,0,0
Jonathan Kuminga\kuminjo01,SF,70,236,50,130,234,64,31,22,74,652
Kyle Kuzma\kuzmaky01,PF,66,423,128,156,561,233,42,57,169,1130
Anthony Lamb\lamban01,SF,2,0,0,0,1,2,0,0,0,0
Jeremy Lamb\lambje01,SF-SG,56,133,55,89,154,81,31,22,37,410
Jock Landale\landajo01,C,54,101,29,34,138,45,10,14,31,265
Romeo Langford\langfro01,SG,48,83,29,23,108,21,22,16,16,218
Zach LaVine\lavinza01,SF,67,565,185,320,308,303,41,23,171,1635
Jake Layman\laymaja01,SF,34,30,8,13,36,9,7,5,10,81
Damion Lee\leeda03,SG,63,169,63,66,203,63,39,6,38,467
Saben Lee\leesa01,PG,37,69,14,56,87,107,36,12,36,208
Alex Len\lenal01,C,39,94,6,41,161,45,13,25,43,235
Caris LeVert\leverca01,SG,58,379,82,146,214,248,51,23,108,986
Kira Lewis Jr.\lewiski01,PG,24,59,13,10,39,49,11,1,26,141
Scottie Lewis\lewissc01,SG,2,0,0,1,0,1,1,0,0,1
Damian Lillard\lillada01,PG,29,222,92,159,120,212,17,11,83,695
Nassir Little\littlna01,SF,42,145,51,69,236,54,25,36,40,410
Isaiah Livers\liveris01,SF,19,41,27,12,57,21,13,7,15,121
Kevon Looney\looneke01,C,82,208,0,75,596,165,50,52,67,491
Brook Lopez\lopezbr01,C,13,61,19,20,53,6,8,15,12,161
Robin Lopez\lopezro01,C,36,110,2,32,126,54,2,18,44,254
Didi Louzada\louzama01,SG-SF,9,12,9,2,17,5,2,2,5,35
Kevin Love\loveke01,PF,74,327,187,166,536,160,26,18,98,1007
Kyle Lowry\lowryky01,PG,63,276,144,148,282,474,67,17,168,844
Gabriel Lundberg\lundbga01,SG,4,5,3,0,7,11,3,0,3,13
Timothé Luwawu-Cabarrot\luwawti01,SF,52,74,44,35,82,40,18,6,20,227
Trey Lyles\lylestr01,PF,75,262,67,195,379,88,29,32,73,786
Théo Maledon\maledth01,PG,51,119,44,79,131,111,31,11,65,361
Sandro Mamukelashvili\mamuksa01,PF,41,57,22,18,82,22,9,9,15,154
Terance Mann\mannte01,SF,81,334,76,128,425,209,55,21,84,872
Tre Mann\manntr01,PG,60,231,98,65,171,91,47,12,71,625
Boban Marjanovi?\marjabo01,C,23,42,1,13,39,3,0,3,15,98
Lauri Markkanen\markkla01,PF,61,313,136,138,345,81,45,30,54,900
Naji Marshall\marshna01,SF,55,109,21,74,142,62,33,8,46,313
Caleb Martin\martica02,SF,60,208,64,71,230,64,58,30,52,551
Cody Martin\martico01,SF,71,204,61,75,285,179,88,32,61,544
Kelan Martin\martike03,SF,30,70,22,9,55,21,13,9,14,171
Kenyon Martin Jr.\martike04,SF,79,279,60,78,297,101,34,40,60,696
Garrison Mathews\mathega01,SG,65,184,139,143,190,64,57,24,41,650
Dakota Mathias\mathida01,SG,6,2,2,0,2,1,1,0,0,6
Wesley Matthews\matthwe02,SG,49,87,53,22,92,36,23,8,18,249
Tyrese Maxey\maxeyty01,PG,75,483,132,213,240,321,55,32,88,1311
Skylar Mays\mayssk01,SG,28,32,8,8,25,17,7,0,10,80
Miles McBride\mcbrimi01,PG,40,32,17,8,42,41,14,1,5,89
Mac McClung\mccluma01,SG-PG,2,3,1,1,3,1,1,1,3,8
CJ McCollum\mccolcj01,SG,62,536,182,116,269,315,70,22,127,1370
T.J. McConnell\mccontj01,PG,27,100,10,19,90,131,29,10,29,229
Jaden McDaniels\mcdanja02,PF,70,255,80,57,293,79,52,54,75,647
Jalen McDaniels\mcdanja01,SF,55,123,41,53,170,58,26,22,36,340
Doug McDermott\mcderdo01,PF,51,215,108,40,115,64,13,6,43,578
JaVale McGee\mcgeeja01,C,74,288,2,102,496,42,22,81,98,680
Cameron McGriff\mcgrica01,SF,3,5,2,2,15,3,0,1,0,14
Rodney McGruder\mcgruro01,SG,51,98,58,19,111,48,21,7,24,273
Alfonzo McKinnie\mckinal01,SF,17,24,9,2,33,5,2,3,7,59
JaQuori McLaughlin\mclauja01,PG,4,0,0,0,0,2,0,0,0,0
Jordan McLaughlin\mclaujo01,PG,62,88,27,30,94,180,57,10,38,233
Ben McLemore\mclembe01,SG,64,216,151,72,103,59,38,10,55,655
De'Anthony Melton\meltode01,SG,73,281,139,90,328,194,104,39,112,791
Sam Merrill\merrisa01,SG,6,8,7,2,7,4,0,0,2,25
Chimezie Metu\metuch01,C,60,203,57,71,335,60,51,32,61,534
Khris Middleton\middlkh01,SF,66,452,162,259,356,358,76,18,190,1325
C.J. Miles\milescj01,SG,1,0,0,0,0,0,0,0,0,0
Patty Mills\millspa02,PG,81,324,227,48,156,183,51,17,73,923
Paul Millsap\millspa01,PF,33,45,8,17,114,29,10,13,19,115
Shake Milton\miltosh01,PG,55,173,43,61,142,139,28,17,44,450
Davion Mitchell\mitchda01,PG,75,352,101,56,166,313,55,24,114,861
Donovan Mitchell\mitchdo01,SG,67,617,232,267,282,358,99,12,200,1733
Evan Mobley\mobleev01,PF,69,422,23,167,570,174,56,115,133,1034
Malik Monk\monkma01,SG,76,391,173,93,256,218,61,29,122,1048
Greg Monroe\monrogr01,C,14,32,0,12,64,22,8,10,12,76
Moses Moody\moodymo01,SG,52,80,40,28,80,23,7,10,13,228
Xavier Moon\moonxa01,SG,10,25,5,3,14,24,7,3,6,58
Matt Mooney\moonema01,SG,1,0,0,0,0,0,1,0,1,0
Ja Morant\moranja01,PG,57,580,88,316,325,384,66,22,196,1564
Juwan Morgan\morgaju01,PF,2,2,1,0,4,1,0,0,0,5
Jaylen Morris\morrija01,SG,3,0,0,2,2,2,0,0,1,2
Marcus Morris\morrima03,PF,54,300,101,129,239,113,28,18,69,830
Markieff Morris\morrima02,PF,17,54,13,8,45,23,6,1,20,129
Monte Morris\morrimo01,PG,75,374,124,73,226,333,56,14,78,945
Emmanuel Mudiay\mudiaem01,PG,2,0,0,3,0,4,1,0,1,3
Mychal Mulder\muldemy01,PG,17,24,17,4,24,5,4,2,8,69
Ade Murkey\murkead01,SG,1,0,0,0,0,0,0,0,0,0
Trey Murphy III\murphtr02,SF,62,109,71,45,147,38,23,7,16,334
Dejounte Murray\murrade01,PG,68,573,96,196,563,627,138,23,180,1438
Mike Muscala\muscami01,C,43,113,70,48,129,22,18,26,14,344
Svi Mykhailiuk\mykhasv01,SF,56,91,41,32,92,45,26,4,32,255
Abdel Nader\naderab01,SF,14,12,4,6,27,7,8,4,11,34
Larry Nance Jr.\nancela02,PF,46,129,23,40,248,81,43,20,37,321
RJ Nembhard Jr.\nembhrj01,SG,14,6,0,3,7,12,1,0,3,15
Aaron Nesmith\nesmiaa01,SF,52,72,31,21,89,22,20,5,31,196
Raul Neto\netora01,PG,70,204,35,83,134,217,55,3,79,526
Malik Newman\newmama01,PG,1,3,0,2,1,1,0,0,1,8
Georges Niang\niangge01,PF,76,246,156,52,203,102,30,13,59,700
Daishen Nix\nixda01,SG,24,27,7,16,33,40,15,0,26,77
Zeke Nnaji\nnajize01,PF,41,96,37,41,147,17,16,13,23,270
Nerlens Noel\noelne01,C,25,32,0,21,141,23,30,31,20,85
Jaylen Nowell\nowelja01,SG,62,196,63,72,123,130,27,10,36,527
Frank Ntilikina\ntilila01,PG,58,89,38,24,79,69,27,7,31,240
Jusuf Nurki?\nurkiju01,C,56,321,15,185,619,157,62,34,143,842
David Nwaba\nwabada01,SF,46,85,15,48,151,35,28,20,21,233
Jordan Nwora\nworajo01,SF,62,186,79,36,221,59,25,17,57,487
Royce O'Neale\onealro01,SF,77,203,119,45,368,191,86,32,79,570
Semi Ojeleye\ojelese01,PF,30,30,15,23,74,9,7,6,9,98
Chuma Okeke\okekech01,PF,70,216,118,55,347,118,97,42,57,605
Josh Okogie\okogijo01,SG,49,42,14,35,70,25,26,12,23,133
Onyeka Okongwu\okongon01,C,48,156,0,80,283,53,31,60,44,392
Isaac Okoro\okorois01,SF,67,207,55,119,201,121,56,22,58,588
KZ Okpala\okpalkz01,PF,21,30,9,8,41,14,4,7,5,77
Victor Oladipo\oladivi01,SG,8,35,15,14,23,28,5,1,16,99
Cameron Oliver\oliveca01,SF,2,10,1,2,6,3,1,1,0,23
Kelly Olynyk\olynyke01,C,40,128,40,69,177,111,31,19,58,365
Eugene Omoruyi\omorueu01,SF,4,2,1,2,7,2,0,0,0,7
Miye Oni\onimi01,SG,16,2,1,0,7,5,0,0,1,5
Cedi Osman\osmande01,SF,66,247,128,87,146,135,52,10,67,709
Daniel Oturu\oturuda01,C,3,3,0,3,5,0,0,2,0,9
Kelly Oubre Jr.\oubreke01,SF,76,410,191,126,302,84,77,31,67,1137
Jaysean Paige\paigeja01,PG,1,0,0,0,1,1,0,0,1,0
Trayvon Palmer\palmetr01,SG,1,0,0,0,2,0,0,0,1,0
Kevin Pangos\pangoke01,PG,24,15,6,3,11,30,3,0,7,39
Jabari Parker\parkeja01,PF,12,18,8,9,28,6,4,1,8,53
Eric Paschall\pascher01,PF,58,114,40,66,106,36,9,5,27,334
Chris Paul\paulch01,PG,65,363,63,169,283,702,121,20,153,958
Cameron Payne\payneca01,PG,58,240,71,75,175,282,40,17,103,626
Elfrid Payton\paytoel01,PG,50,67,4,12,88,99,25,6,47,150
Gary Payton II\paytoga02,PG,71,212,43,35,247,64,96,22,40,502
Norvel Pelle\pelleno01,C,3,3,0,0,6,0,0,1,2,6
Reggie Perry\perryre01,PF,10,40,3,9,47,12,9,6,11,92
Jamorko Pickett\pickeja01,PF,13,18,13,1,32,7,0,7,5,50
Theo Pinson\pinsoth01,SF,19,14,10,10,21,17,5,2,5,48
Mason Plumlee\plumlma01,C,73,205,0,67,565,226,61,52,100,477
Jakob Poeltl\poeltja01,C,68,410,1,94,634,189,45,118,109,915
Aleksej Pokusevski\pokusal01,PF,61,186,57,35,318,131,39,38,94,464
Yves Pons\ponsyv01,SF,12,5,3,0,12,1,1,4,1,13
Jordan Poole\poolejo01,SG,76,474,211,246,260,304,60,23,187,1405
Kevin Porter Jr.\porteke02,PG,61,335,155,124,267,376,69,22,192,949
Michael Porter Jr.\portemi01,SF,9,37,10,5,59,17,10,2,12,89
Otto Porter Jr.\porteot01,PF,63,193,80,49,362,94,68,29,37,515
Bobby Portis\portibo01,C,72,417,133,85,657,86,53,51,90,1052
Kristaps Porzi??is\porzikr01,PF,51,352,78,248,411,119,37,84,81,1030
Micah Potter\pottemi01,C,3,5,0,2,9,0,1,1,1,12
Dwight Powell\poweldw01,C,82,269,13,166,404,97,37,39,64,717
Myles Powell\powelmy01,PG,11,5,1,2,6,3,1,0,3,13
Norman Powell\powelno01,SF-SG,45,279,106,189,145,96,42,21,69,853
Joshua Primo\primojo01,SG,50,101,42,44,113,81,20,23,57,288
Taurean Prince\princta02,PF,69,177,86,62,174,68,47,23,53,502
Payton Pritchard\pritcpa01,SG,71,160,101,21,134,139,25,6,41,442
Trevelin Queen\queentr01,SG,10,15,9,4,16,4,5,1,7,43
Neemias Queta\quetane01,C,14,17,0,11,31,6,1,8,6,45
Immanuel Quickley\quickim01,PG,78,284,137,177,247,275,54,3,99,882
Jahmi'us Ramsey\ramseja01,SG,19,24,5,7,13,7,1,1,5,60
Julius Randle\randlju01,PF,72,512,120,303,716,370,53,39,245,1447
Austin Reaves\reaveau01,SG,61,146,53,99,193,110,29,20,40,444
Cam Reddish\reddica01,SF,49,165,66,101,105,48,47,15,57,497
Davon Reed\reedda01,SG,48,81,37,10,108,53,24,9,16,209
Paul Reed\reedpa01,C,38,54,2,6,92,16,33,14,10,116
Naz Reid\reidna01,C,77,233,57,114,301,71,40,71,82,637
Nick Richards\richani01,C,50,60,0,30,86,13,9,21,24,150
Josh Richardson\richajo01,SG,65,234,102,96,185,115,56,29,66,666
Austin Rivers\riverau01,SG,67,146,79,32,114,90,51,6,54,403
Duncan Robinson\robindu01,SG,79,290,232,51,203,129,42,14,60,863
Justin Robinson\robinju01,PG,25,28,18,4,21,32,9,1,17,78
Mitchell Robinson\robinmi01,C,72,261,0,88,617,38,58,133,60,610
Jeremiah Robinson-Earl\robinje02,C,49,134,58,40,274,49,29,15,39,366
Isaiah Roby\robyis01,PF,45,166,44,78,217,71,36,34,43,454
Rajon Rondo\rondora01,PG,39,68,31,19,108,170,30,6,68,186
Derrick Rose\rosede01,PG,26,122,37,30,78,103,22,12,39,311
Terrence Ross\rosste01,SG,63,220,77,112,161,116,28,12,75,629
Terry Rozier\roziete01,SG,73,518,222,150,315,326,93,25,96,1408
Ricky Rubio\rubiori01,PG,34,149,59,88,141,225,49,7,90,445
D'Angelo Russell\russeda01,PG,65,401,176,198,216,460,62,22,165,1176
Matt Ryan\ryanma01,SF,1,1,1,0,0,0,1,0,0,3
Domantas Sabonis\sabondo01,C-PF,62,443,39,246,752,323,59,27,195,1171
Olivier Sarr\sarrol01,C,22,58,13,24,93,19,6,15,22,153
Tomáš Satoranský\satorto01,SG,55,72,11,43,126,184,29,5,46,198
Jordan Schakel\schakjo01,SG,4,1,1,2,8,0,1,0,1,5
Admiral Schofield\schofad01,SF,38,54,26,12,89,25,4,5,21,146
Dennis Schröder\schrode01,SG-PG,64,312,86,157,214,296,53,8,143,867
Tre Scott\scotttr01,SF,2,3,0,0,2,0,1,1,0,6
Jay Scrubb\scrubja01,SG,18,18,6,7,16,8,4,3,7,49
Wayne Selden\seldewa01,SG,3,1,1,2,1,1,0,0,0,5
Alperen ?engün\sengual01,C,72,249,29,165,393,185,59,68,145,692
Collin Sexton\sextoco01,SG,11,68,11,29,36,23,10,0,31,176
Landry Shamet\shamela01,SG,69,191,123,68,126,108,28,9,41,573
Day'Ron Sharpe\sharpda01,PF,32,86,2,24,160,17,10,15,30,198
Pascal Siakam\siakapa01,PF,68,596,75,284,580,360,85,42,181,1551
Chris Silva\silvach01,PF,10,8,0,10,36,7,0,1,8,26
Marko Simonovic\simonma01,C,9,4,1,8,10,0,1,1,2,17
Anfernee Simons\simonan01,SG,57,353,179,103,151,221,30,6,115,988
Zavier Simpson\simpsza01,PG,4,19,1,5,21,30,5,4,10,44
Jericho Sims\simsje01,PF,41,39,0,12,169,21,11,22,20,90
Deividas Sirvydis\sirvyde01,SG,3,1,1,0,6,1,3,1,0,3
Javonte Smart\smartja01,PG,17,19,8,5,24,16,6,3,11,51
Marcus Smart\smartma01,PG,71,300,119,142,270,417,119,18,159,861
Dennis Smith Jr.\smithde03,PG,37,79,6,42,88,132,45,12,51,206
Ish Smith\smithis01,PG,65,185,25,15,140,244,47,23,78,410
Jalen Smith\smithja04,PF,51,176,40,78,307,24,15,41,42,470
Xavier Sneed\sneedxa01,SF,9,2,1,0,6,1,0,0,0,5
Tony Snell\snellto01,SG,53,69,45,4,103,28,16,9,19,187
Jaden Springer\sprinja01,SG,2,1,0,0,2,0,0,2,1,2
Cassius Stanley\stanlca01,SG,9,19,4,10,19,4,5,2,6,52
Nik Stauskas\stausni01,SG,8,5,4,4,3,2,0,0,1,18
Lance Stephenson\stephla01,SG-SF,46,147,27,63,127,165,24,4,72,384
Lamar Stevens\stevela01,PF,63,156,18,53,164,44,31,18,41,383
Isaiah Stewart\stewais01,C,71,250,15,74,617,82,22,78,85,589
Max Strus\strusma01,SF,68,249,181,42,202,92,28,16,57,721
Jalen Suggs\suggsja01,PG,48,198,42,126,171,209,59,19,143,564
Craig Sword\swordcr01,SG,3,3,0,0,0,1,4,0,1,6
Keifer Sykes\sykeske01,PG,32,69,27,15,45,62,12,4,33,180
Jae'Sean Tate\tateja01,SF,78,363,63,130,420,222,72,41,139,919
Jayson Tatum\tatumja01,SF,76,708,230,400,609,334,75,49,217,2046
Terry Taylor\taylote01,SG,33,135,12,36,172,41,14,8,23,318
Garrett Temple\templga01,SG,59,111,59,28,143,74,43,23,42,309
Emanuel Terry\terryem01,PF,3,0,0,0,15,2,1,0,5,0
Tyrell Terry\terryty01,PG,2,1,0,0,0,0,0,0,0,2
Jon Teske\teskejo01,C,3,0,0,0,2,1,1,0,0,0
Daniel Theis\theisda01,C,47,151,33,49,228,41,20,31,46,384
Brodric Thomas\thomabr01,SG,12,8,2,3,10,11,1,1,6,21
Cam Thomas\thomaca02,SG,67,218,47,87,161,78,33,8,55,570
Isaiah Thomas\thomais02,PG,22,67,28,22,29,34,7,5,15,184
Matt Thomas\thomama02,SG,40,55,35,16,50,20,8,3,8,161
Klay Thompson\thompkl01,SG,32,246,114,46,125,88,16,17,43,652
Tristan Thompson\thomptr01,PF,57,141,1,61,288,34,23,21,45,344
JT Thor\thorjt01,PF,33,24,7,12,43,19,8,11,10,67
Matisse Thybulle\thybuma01,SG,66,150,45,34,151,75,115,71,39,379
Killian Tillie\tilliki02,C,36,43,27,5,60,22,23,15,13,118
Xavier Tillman Sr.\tillmxa01,PF,53,98,10,46,161,62,49,15,34,252
Isaiah Todd\toddis01,PF,12,7,4,2,12,4,4,2,4,20
Obi Toppin\toppiob01,PF,72,251,52,94,268,77,25,33,56,648
Juan Toscano-Anderson\toscaju01,SF,73,115,28,40,176,127,48,17,68,298
Karl-Anthony Towns\townska01,C,74,642,150,384,727,269,72,83,226,1818
Gary Trent Jr.\trentga02,SG,70,450,209,174,191,141,122,19,73,1283
P.J. Tucker\tuckepj01,PF,71,207,80,45,387,149,58,15,66,539
Rayjon Tucker\tuckera01,SG,5,6,4,5,8,10,4,0,1,21
Myles Turner\turnemy01,C,42,200,61,79,297,44,28,118,54,540
Jonas Valan?i?nas\valanjo01,C,74,510,57,237,843,190,41,60,179,1314
Denzel Valentine\valende01,SG,24,25,19,0,42,11,8,0,12,69
Jarred Vanderbilt\vandeja01,PF,74,212,2,86,624,94,99,46,73,512
Fred VanVleet\vanvlfr01,PG,65,442,242,194,289,434,111,35,170,1320
Devin Vassell\vassede01,SF,71,326,137,83,306,136,76,41,58,872
Gabe Vincent\vincega01,PG,68,214,119,44,126,210,62,12,98,591
Nikola Vu?evi?\vucevni01,C,73,546,104,92,804,236,70,71,136,1288
Dean Wade\wadede01,PF,51,99,51,20,150,52,29,7,16,269
Franz Wagner\wagnefr01,SF,79,456,96,189,356,231,68,34,119,1197
Moritz Wagner\wagnemo01,C,63,197,66,104,232,87,20,13,56,564
Ish Wainright\wainris01,PF,45,41,19,7,54,15,20,6,13,108
Kemba Walker\walkeke02,PG,37,149,73,60,111,131,26,7,48,431
Lonnie Walker IV\walkelo01,SG,70,311,111,116,181,152,44,19,71,849
M.J. Walker\walkemj01,SG,2,0,0,0,1,1,2,0,0,0
Tyrone Wallace\wallaty01,SG,6,7,2,1,8,1,3,1,2,17
Derrick Walton\waltode01,PG,3,6,3,4,10,21,7,4,11,19
Brad Wanamaker\wanambr01,PG,23,28,4,23,39,55,7,6,23,83
Duane Washington Jr.\washidu02,PG,48,173,81,46,83,85,26,3,57,473
P.J. Washington\washipj01,PF,65,250,110,58,337,147,57,61,82,668
Yuta Watanabe\watanyu01,SF,38,56,27,24,92,21,11,16,19,163
Lindy Waters III\waterli01,SG,25,71,53,4,73,24,19,8,11,199
Tremont Waters\watertr01,PG,3,4,2,0,4,7,5,0,4,10
Trendon Watford\watfotr01,SF,48,142,9,71,199,81,25,28,44,364
Paul Watson\watsopa01,SF,9,12,6,1,27,8,3,3,4,31
Quinndary Weatherspoon\weathqu01,SG,11,12,1,5,14,5,1,1,3,30
Russell Westbrook\westbru01,PG,78,548,79,266,580,550,75,20,295,1441
Coby White\whiteco01,PG,61,279,136,78,182,176,29,11,70,772
Derrick White\whitede01,SG,75,337,115,203,261,366,64,58,119,992
Hassan Whiteside\whiteha01,C,65,215,0,104,494,26,22,103,53,534
Joe Wieskamp\wieskjo01,SG,29,20,14,7,14,9,4,3,2,61
Aaron Wiggins\wiggiaa01,SG,50,156,42,62,178,68,30,10,54,416
Andrew Wiggins\wiggian01,SF,73,475,157,149,325,161,76,51,111,1256
Lindell Wigginton\wiggili01,PG,19,26,9,19,25,23,5,1,12,80
Brandon Williams\willibr03,PG,24,105,31,68,74,94,24,10,58,309
Grant Williams\willigr01,PF,77,205,106,86,274,78,38,57,62,602
Kenrich Williams\willike04,SF,49,146,41,30,220,108,44,10,46,363
Lou Williams\willilo02,PG,56,125,37,67,87,105,28,3,43,354
Patrick Williams\willipa01,PF,17,54,15,30,69,15,9,9,16,153
Robert Williams\williro04,C,61,271,0,65,588,121,56,134,63,607
Ziaire Williams\willizi02,SF,62,191,76,43,129,65,35,12,41,501
D.J. Wilson\wilsodj01,PF,4,11,0,8,16,5,5,1,2,30
Dylan Windler\windldy01,SF,50,37,21,15,89,34,14,3,16,110
Justise Winslow\winslju01,SF,48,110,15,39,202,84,35,25,49,274
Cassius Winston\winstca01,PG,7,4,2,4,1,7,0,0,3,14
Christian Wood\woodch01,C,68,440,131,207,686,155,54,65,126,1218
Robert Woodard II\woodaro01,SF,12,2,1,2,11,3,1,1,1,7
Delon Wright\wrighde01,SG,77,122,44,54,220,188,93,19,45,342
McKinley Wright IV\wrighmc01,PG,5,2,1,0,0,3,0,0,1,5
Moses Wright\wrighmo01,PF,4,1,0,3,3,2,0,1,0,5
Gabe York\yorkga01,SG,2,2,1,3,2,4,2,1,1,8
Thaddeus Young\youngth01,PF,52,141,17,23,208,104,54,18,52,322
Trae Young\youngtr01,PG,76,711,233,500,284,737,72,7,303,2155
Omer Yurtseven\yurtsom01,C,56,130,1,38,294,49,17,20,41,299
Cody Zeller\zelleco01,C,27,51,0,38,125,22,8,6,19,140
Ivica Zubac\zubaciv01,C,76,310,0,165,644,120,36,77,114,785
